[GPU7] Epoch 0 | BatchSize: 32 | Steps: 8
[GPU7] Epoch 1 | BatchSize: 32 | Steps: 8
[GPU7] Epoch 2 | BatchSize: 32 | Steps: 8
[GPU7] Epoch 3 | BatchSize: 32 | Steps: 8
[GPU7] Epoch 4 | BatchSize: 32 | Steps: 8
[GPU7] Epoch 5 | BatchSize: 32 | Steps: 8
[GPU7] Epoch 6 | BatchSize: 32 | Steps: 8
[GPU7] Epoch 7 | BatchSize: 32 | Steps: 8
[GPU7] Epoch 8 | BatchSize: 32 | Steps: 8
[GPU7] Epoch 9 | BatchSize: 32 | Steps: 8
[GPU7] Epoch 10 | BatchSize: 32 | Steps: 8
[GPU7] Epoch 11 | BatchSize: 32 | Steps: 8
[GPU7] Epoch 12 | BatchSize: 32 | Steps: 8
[GPU7] Epoch 13 | BatchSize: 32 | Steps: 8
[GPU7] Epoch 14 | BatchSize: 32 | Steps: 8
[GPU7] Epoch 15 | BatchSize: 32 | Steps: 8
[GPU7] Epoch 16 | BatchSize: 32 | Steps: 8
[GPU7] Epoch 17 | BatchSize: 32 | Steps: 8
[GPU7] Epoch 18 | BatchSize: 32 | Steps: 8
[GPU7] Epoch 19 | BatchSize: 32 | Steps: 8
[GPU2] Epoch 0 | BatchSize: 32 | Steps: 8
[GPU2] Epoch 1 | BatchSize: 32 | Steps: 8
[GPU2] Epoch 2 | BatchSize: 32 | Steps: 8
[GPU2] Epoch 3 | BatchSize: 32 | Steps: 8
[GPU2] Epoch 4 | BatchSize: 32 | Steps: 8
[GPU2] Epoch 5 | BatchSize: 32 | Steps: 8
[GPU2] Epoch 6 | BatchSize: 32 | Steps: 8
[GPU2] Epoch 7 | BatchSize: 32 | Steps: 8
[GPU2] Epoch 8 | BatchSize: 32 | Steps: 8
[GPU2] Epoch 9 | BatchSize: 32 | Steps: 8
[GPU2] Epoch 10 | BatchSize: 32 | Steps: 8
[GPU2] Epoch 11 | BatchSize: 32 | Steps: 8
[GPU2] Epoch 12 | BatchSize: 32 | Steps: 8
[GPU2] Epoch 13 | BatchSize: 32 | Steps: 8
[GPU2] Epoch 14 | BatchSize: 32 | Steps: 8
[GPU2] Epoch 15 | BatchSize: 32 | Steps: 8
[GPU2] Epoch 16 | BatchSize: 32 | Steps: 8
[GPU2] Epoch 17 | BatchSize: 32 | Steps: 8
[GPU2] Epoch 18 | BatchSize: 32 | Steps: 8
[GPU2] Epoch 19 | BatchSize: 32 | Steps: 8
[GPU5] Epoch 0 | BatchSize: 32 | Steps: 8
[GPU5] Epoch 1 | BatchSize: 32 | Steps: 8
[GPU5] Epoch 2 | BatchSize: 32 | Steps: 8
[GPU5] Epoch 3 | BatchSize: 32 | Steps: 8
[GPU5] Epoch 4 | BatchSize: 32 | Steps: 8
[GPU5] Epoch 5 | BatchSize: 32 | Steps: 8
[GPU5] Epoch 6 | BatchSize: 32 | Steps: 8
[GPU5] Epoch 7 | BatchSize: 32 | Steps: 8
[GPU5] Epoch 8 | BatchSize: 32 | Steps: 8
[GPU5] Epoch 9 | BatchSize: 32 | Steps: 8
[GPU5] Epoch 10 | BatchSize: 32 | Steps: 8
[GPU5] Epoch 11 | BatchSize: 32 | Steps: 8
[GPU5] Epoch 12 | BatchSize: 32 | Steps: 8
[GPU5] Epoch 13 | BatchSize: 32 | Steps: 8
[GPU5] Epoch 14 | BatchSize: 32 | Steps: 8
[GPU5] Epoch 15 | BatchSize: 32 | Steps: 8
[GPU5] Epoch 16 | BatchSize: 32 | Steps: 8
[GPU5] Epoch 17 | BatchSize: 32 | Steps: 8
[GPU5] Epoch 18 | BatchSize: 32 | Steps: 8
[GPU5] Epoch 19 | BatchSize: 32 | Steps: 8
[GPU4] Epoch 0 | BatchSize: 32 | Steps: 8
[GPU4] Epoch 1 | BatchSize: 32 | Steps: 8
[GPU4] Epoch 2 | BatchSize: 32 | Steps: 8
[GPU4] Epoch 3 | BatchSize: 32 | Steps: 8
[GPU4] Epoch 4 | BatchSize: 32 | Steps: 8
[GPU4] Epoch 5 | BatchSize: 32 | Steps: 8
[GPU4] Epoch 6 | BatchSize: 32 | Steps: 8
[GPU4] Epoch 7 | BatchSize: 32 | Steps: 8
[GPU4] Epoch 8 | BatchSize: 32 | Steps: 8
[GPU4] Epoch 9 | BatchSize: 32 | Steps: 8
[GPU4] Epoch 10 | BatchSize: 32 | Steps: 8
[GPU4] Epoch 11 | BatchSize: 32 | Steps: 8
[GPU4] Epoch 12 | BatchSize: 32 | Steps: 8
[GPU4] Epoch 13 | BatchSize: 32 | Steps: 8
[GPU4] Epoch 14 | BatchSize: 32 | Steps: 8
[GPU4] Epoch 15 | BatchSize: 32 | Steps: 8
